seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,2,MLP,arm1,0.5,1,74,0.8243,0.9008,0.9444
0,2,MLP,arm1,0.5,2,34,0.7059,0.6875,0.8498
0,2,MLP,arm1,0.5,3,16,0.6875,0.6154,0.9583
0,2,MLP,arm1,0.1,0,64,0.6719,0.0,nan
0,2,MLP,arm1,0.1,1,102,0.8235,0.9032,nan
0,2,MLP,arm1,0.1,2,10,0.7,0.0,nan
0,2,MLP,arm1,0.1,3,8,0.625,0.0,nan
0,2,MLP,arm1,natural,0,54,0.7593,0.7636,0.8585
0,2,MLP,arm1,natural,1,67,0.7612,0.7037,0.8621
0,2,MLP,arm1,natural,2,21,0.9048,0.95,nan
0,2,MLP,arm1,natural,3,42,0.6667,0.7812,0.6099
0,2,MLP,arm2,100,global,184,0.7174,0.732,0.8264
0,2,MLP,arm2,100,0,37,0.7297,0.7059,0.8509
0,2,MLP,arm2,100,1,53,0.7736,0.8125,0.872
0,2,MLP,arm2,100,2,46,0.6087,0.5909,0.7562
0,2,MLP,arm2,100,3,48,0.75,0.7692,0.8166
0,2,MLP,arm2,1.0,global,184,0.7228,0.7385,0.8303
0,2,MLP,arm2,1.0,0,42,0.7619,0.7917,0.8753
0,2,MLP,arm2,1.0,1,72,0.7083,0.747,0.8228
0,2,MLP,arm2,1.0,2,46,0.6522,0.619,0.7576
0,2,MLP,arm2,1.0,3,24,0.8333,0.8182,0.9643
0,2,MLP,arm2,0.5,global,184,0.7446,0.7814,0.8308
0,2,MLP,arm2,0.5,0,60,0.7,0.5263,0.7807
0,2,MLP,arm2,0.5,1,74,0.8108,0.8923,0.9375
0,2,MLP,arm2,0.5,2,34,0.7353,0.7273,0.8755
0,2,MLP,arm2,0.5,3,16,0.625,0.5714,0.9792
0,2,MLP,arm2,0.1,global,184,0.7554,0.8133,0.8399
0,2,MLP,arm2,0.1,0,64,0.5312,0.0,nan
0,2,MLP,arm2,0.1,1,102,0.9608,0.98,nan
0,2,MLP,arm2,0.1,2,10,0.5,0.0,nan
0,2,MLP,arm2,0.1,3,8,0.25,0.0,nan
0,2,MLP,arm2,natural,global,184,0.7391,0.7624,0.8301
0,2,MLP,arm2,natural,0,54,0.7222,0.6939,0.831
0,2,MLP,arm2,natural,1,67,0.7761,0.717,0.8621
0,2,MLP,arm2,natural,2,21,0.9048,0.95,nan
0,2,MLP,arm2,natural,3,42,0.619,0.7333,0.6321
0,3,LR,arm1,,global,184,0.7663,0.7861,0.8469
0,3,LR,arm1,100,0,41,0.8293,0.8372,0.8828
0,3,LR,arm1,100,1,49,0.7551,0.75,0.8067
0,3,LR,arm1,100,2,44,0.7273,0.8065,0.854
0,3,LR,arm1,100,3,50,0.76,0.75,0.8696
0,3,LR,arm1,1.0,0,42,0.8571,0.875,0.9028
0,3,LR,arm1,1.0,1,76,0.7632,0.7955,0.8346
0,3,LR,arm1,1.0,2,38,0.6316,0.6667,0.7895
0,3,LR,arm1,1.0,3,28,0.8214,0.7826,0.8958
0,3,LR,arm1,0.5,0,65,0.8,0.6667,0.8613
0,3,LR,arm1,0.5,1,76,0.7632,0.8636,0.8933
0,3,LR,arm1,0.5,2,28,0.6429,0.5833,0.8222
0,3,LR,arm1,0.5,3,15,0.8667,0.6667,1.0
0,3,LR,arm1,0.1,0,57,0.7544,0.0,nan
0,3,LR,arm1,0.1,1,103,0.7767,0.8729,0.9314
0,3,LR,arm1,0.1,2,16,0.6875,0.0,nan
0,3,LR,arm1,0.1,3,8,0.875,0.0,nan
0,3,LR,arm1,natural,0,56,0.7321,0.7059,0.8008
0,3,LR,arm1,natural,1,66,0.7879,0.7083,0.8815
0,3,LR,arm1,natural,2,24,0.875,0.9302,0.75
0,3,LR,arm1,natural,3,38,0.7105,0.8136,0.6896
0,3,LR,arm2,100,global,184,0.7609,0.7822,0.8458
0,3,LR,arm2,100,0,41,0.8293,0.8372,0.878
0,3,LR,arm2,100,1,49,0.7143,0.7083,0.805
0,3,LR,arm2,100,2,44,0.75,0.8254,0.8457
0,3,LR,arm2,100,3,50,0.76,0.75,0.8728
0,3,LR,arm2,1.0,global,184,0.7609,0.7822,0.8453
0,3,LR,arm2,1.0,0,42,0.8571,0.875,0.9005
0,3,LR,arm2,1.0,1,76,0.75,0.7865,0.8346
0,3,LR,arm2,1.0,2,38,0.6316,0.6667,0.7618
0,3,LR,arm2,1.0,3,28,0.8214,0.7826,0.9062
0,3,LR,arm2,0.5,global,184,0.7826,0.8077,0.8482
0,3,LR,arm2,0.5,0,65,0.7538,0.619,0.8533
0,3,LR,arm2,0.5,1,76,0.8158,0.8971,0.8933
0,3,LR,arm2,0.5,2,28,0.7143,0.6667,0.8056
0,3,LR,arm2,0.5,3,15,0.8667,0.6667,1.0
0,3,LR,arm2,0.1,global,184,0.7663,0.7882,0.8473
0,3,LR,arm2,0.1,0,57,0.7193,0.0,nan
0,3,LR,arm2,0.1,1,103,0.7864,0.8791,0.9706
0,3,LR,arm2,0.1,2,16,0.75,0.0,nan
0,3,LR,arm2,0.1,3,8,0.875,0.0,nan
0,3,LR,arm2,natural,global,184,0.7554,0.7783,0.8446
0,3,LR,arm2,natural,0,56,0.7143,0.6923,0.8186
0,3,LR,arm2,natural,1,66,0.7727,0.6939,0.8889
0,3,LR,arm2,natural,2,24,0.8333,0.9048,0.7727
0,3,LR,arm2,natural,3,38,0.7368,0.8333,0.6771
0,3,MLP,arm1,,global,184,0.788,0.8079,0.8559
0,3,MLP,arm1,100,0,41,0.8293,0.8293,0.8923
0,3,MLP,arm1,100,1,49,0.7551,0.76,0.8183
0,3,MLP,arm1,100,2,44,0.7955,0.8615,0.8512
0,3,MLP,arm1,100,3,50,0.78,0.766,0.8712
0,3,MLP,arm1,1.0,0,42,0.881,0.8936,0.9144
0,3,MLP,arm1,1.0,1,76,0.7763,0.8132,0.8287
0,3,MLP,arm1,1.0,2,38,0.6842,0.7143,0.8089
0,3,MLP,arm1,1.0,3,28,0.8214,0.7826,0.8542
0,3,MLP,arm1,0.5,0,65,0.7846,0.6316,0.86
0,3,MLP,arm1,0.5,1,76,0.8158,0.8971,0.9467
0,3,MLP,arm1,0.5,2,28,0.6786,0.6087,0.8222
0,3,MLP,arm1,0.5,3,15,0.8667,0.6667,1.0
0,3,MLP,arm1,0.1,0,57,0.7544,0.0,nan
0,3,MLP,arm1,0.1,1,103,0.8058,0.8913,0.9706
0,3,MLP,arm1,0.1,2,16,0.75,0.0,nan
0,3,MLP,arm1,0.1,3,8,0.875,0.0,nan
0,3,MLP,arm1,natural,0,56,0.7679,0.7451,0.8084
0,3,MLP,arm1,natural,1,66,0.7879,0.6957,0.8847
0,3,MLP,arm1,natural,2,24,0.875,0.9302,0.8409
0,3,MLP,arm1,natural,3,38,0.7632,0.8571,0.6562
0,3,MLP,arm2,100,global,184,0.7663,0.7772,0.8504
0,3,MLP,arm2,100,0,41,0.8049,0.8,0.8923
0,3,MLP,arm2,100,1,49,0.7347,0.7234,0.7983
0,3,MLP,arm2,100,2,44,0.75,0.8136,0.843
0,3,MLP,arm2,100,3,50,0.78,0.766,0.8744
0,3,MLP,arm2,1.0,global,184,0.7826,0.798,0.85
0,3,MLP,arm2,1.0,0,42,0.881,0.8936,0.9097
0,3,MLP,arm2,1.0,1,76,0.7632,0.7955,0.8265
0,3,MLP,arm2,1.0,2,38,0.6842,0.7,0.8061
0,3,MLP,arm2,1.0,3,28,0.8214,0.7826,0.9062
0,3,MLP,arm2,0.5,global,184,0.7826,0.8077,0.8443
0,3,MLP,arm2,0.5,0,65,0.7692,0.6341,0.8627
0,3,MLP,arm2,0.5,1,76,0.8158,0.8971,0.92
0,3,MLP,arm2,0.5,2,28,0.7143,0.6667,0.8056
0,3,MLP,arm2,0.5,3,15,0.8,0.5714,1.0
0,3,MLP,arm2,0.1,global,184,0.788,0.8186,0.8436
0,3,MLP,arm2,0.1,0,57,0.7018,0.0,nan
0,3,MLP,arm2,0.1,1,103,0.8641,0.9263,0.951
0,3,MLP,arm2,0.1,2,16,0.625,0.0,nan
0,3,MLP,arm2,0.1,3,8,0.75,0.0,nan
0,3,MLP,arm2,natural,global,184,0.7772,0.794,0.8499
0,3,MLP,arm2,natural,0,56,0.7321,0.7059,0.8084
0,3,MLP,arm2,natural,1,66,0.8182,0.7391,0.8772
0,3,MLP,arm2,natural,2,24,0.875,0.9302,0.8409
0,3,MLP,arm2,natural,3,38,0.7105,0.8136,0.6687
0,4,LR,arm1,,global,184,0.7772,0.798,0.8288
0,4,LR,arm1,100,0,36,0.8611,0.8718,0.8952
0,4,LR,arm1,100,1,44,0.7727,0.8148,0.8333
0,4,LR,arm1,100,2,55,0.7636,0.7636,0.8236
0,4,LR,arm1,100,3,49,0.7347,0.7636,0.7809
0,4,LR,arm1,1.0,0,39,0.9231,0.9362,0.9806
0,4,LR,arm1,1.0,1,65,0.7385,0.7901,0.7795
0,4,LR,arm1,1.0,2,54,0.7407,0.7083,0.7706
0,4,LR,arm1,1.0,3,26,0.7308,0.7407,0.8424
0,4,LR,arm1,0.5,0,59,0.7966,0.6667,0.847
0,4,LR,arm1,0.5,1,74,0.7973,0.8819,0.9202
0,4,LR,arm1,0.5,2,34,0.7647,0.7333,0.8286
0,4,LR,arm1,0.5,3,17,0.6471,0.4,0.8
0,4,LR,arm1,0.1,0,60,0.8,0.0,nan
0,4,LR,arm1,0.1,1,102,0.7941,0.8852,nan
0,4,LR,arm1,0.1,2,13,0.7692,0.0,nan
0,4,LR,arm1,0.1,3,9,0.4444,0.0,nan
0,4,LR,arm1,natural,0,63,0.8095,0.7273,0.8261
0,4,LR,arm1,natural,1,50,0.7,0.6939,0.8112
0,4,LR,arm1,natural,2,28,0.75,0.8444,0.7467
0,4,LR,arm1,natural,3,43,0.8372,0.8923,0.8364
0,4,LR,arm2,100,global,184,0.7391,0.7624,0.819
0,4,LR,arm2,100,0,36,0.8333,0.8421,0.9048
0,4,LR,arm2,100,1,44,0.75,0.8,0.8269
0,4,LR,arm2,100,2,55,0.7091,0.7037,0.8117
0,4,LR,arm2,100,3,49,0.6939,0.7273,0.7826
0,4,LR,arm2,1.0,global,184,0.7337,0.7562,0.8174
0,4,LR,arm2,1.0,0,39,0.8974,0.913,0.9778
0,4,LR,arm2,1.0,1,65,0.7077,0.7654,0.7724
