seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,1,VQC,arm4,0.5,global,184,0.6196,0.72,0.5854
0,1,VQC,arm4,0.5,0,57,0.3333,0.3448,0.5219
0,1,VQC,arm4,0.5,1,75,0.8533,0.9185,0.6857
0,1,VQC,arm4,0.5,2,33,0.7273,0.7568,0.7981
0,1,VQC,arm4,0.5,3,19,0.3684,0.4,0.6833
0,2,VQC,arm4,0.5,global,184,0.6793,0.7668,0.5707
0,2,VQC,arm4,0.5,0,60,0.5,0.4444,0.599
0,2,VQC,arm4,0.5,1,74,0.9324,0.9645,0.8125
0,2,VQC,arm4,0.5,2,34,0.5882,0.65,0.6227
0,2,VQC,arm4,0.5,3,16,0.375,0.4444,0.5208
0,3,VQC,arm4,0.5,global,184,0.6576,0.7407,0.6488
0,3,VQC,arm4,0.5,0,65,0.4615,0.4444,0.662
0,3,VQC,arm4,0.5,1,76,0.8421,0.9143,0.6667
0,3,VQC,arm4,0.5,2,28,0.6071,0.6452,0.8111
0,3,VQC,arm4,0.5,3,15,0.6667,0.4444,0.8077
0,4,VQC,arm4,0.5,global,184,0.6685,0.7426,0.6215
0,4,VQC,arm4,0.5,0,59,0.5593,0.5185,0.6735
0,4,VQC,arm4,0.5,1,74,0.8378,0.9077,0.8873
0,4,VQC,arm4,0.5,2,34,0.6176,0.6667,0.6554
0,4,VQC,arm4,0.5,3,17,0.4118,0.2857,0.5
1,0,VQC,arm4,0.5,global,184,0.712,0.7488,0.7981
1,0,VQC,arm4,0.5,0,40,0.65,0.6957,0.8043
1,0,VQC,arm4,0.5,1,53,0.7358,0.7667,0.8542
1,0,VQC,arm4,0.5,2,51,0.7255,0.6111,0.7821
1,0,VQC,arm4,0.5,3,40,0.725,0.8406,nan
1,1,VQC,arm4,0.5,global,184,0.7554,0.7826,0.8054
1,1,VQC,arm4,0.5,0,25,0.68,0.6923,0.8052
1,1,VQC,arm4,0.5,1,55,0.8182,0.8276,0.8075
1,1,VQC,arm4,0.5,2,55,0.7091,0.5556,0.7944
1,1,VQC,arm4,0.5,3,49,0.7755,0.8736,nan
1,2,VQC,arm4,0.5,global,184,0.75,0.7723,0.7889
1,2,VQC,arm4,0.5,0,39,0.7436,0.7222,0.8053
1,2,VQC,arm4,0.5,1,42,0.8095,0.8182,0.833
