seed,fold,model,condition,round,mean_pairwise_l2
4,1,weak-MLP,0.5,1,0.170377
4,1,weak-MLP,0.5,2,0.162954
4,1,weak-MLP,0.5,3,0.161834
4,1,weak-MLP,0.1,0,0.305706
4,1,weak-MLP,0.1,1,0.278651
4,1,weak-MLP,0.1,2,0.267643
4,1,weak-MLP,0.1,3,0.26552
4,1,weak-MLP,natural,0,0.210445
4,1,weak-MLP,natural,1,0.193194
4,1,weak-MLP,natural,2,0.186225
4,1,weak-MLP,natural,3,0.184858
4,2,weak-MLP,100,0,0.017817
4,2,weak-MLP,100,1,0.015212
4,2,weak-MLP,100,2,0.013466
4,2,weak-MLP,100,3,0.012567
4,2,weak-MLP,1.0,0,0.252122
4,2,weak-MLP,1.0,1,0.230782
4,2,weak-MLP,1.0,2,0.221335
4,2,weak-MLP,1.0,3,0.219233
4,2,weak-MLP,0.5,0,0.187612
4,2,weak-MLP,0.5,1,0.170873
4,2,weak-MLP,0.5,2,0.164589
4,2,weak-MLP,0.5,3,0.163834
4,2,weak-MLP,0.1,0,0.301629
4,2,weak-MLP,0.1,1,0.274407
4,2,weak-MLP,0.1,2,0.261693
4,2,weak-MLP,0.1,3,0.258382
4,2,weak-MLP,natural,0,0.211496
4,2,weak-MLP,natural,1,0.192884
4,2,weak-MLP,natural,2,0.184458
4,2,weak-MLP,natural,3,0.182372
4,3,weak-MLP,100,0,0.018757
4,3,weak-MLP,100,1,0.016322
4,3,weak-MLP,100,2,0.015
4,3,weak-MLP,100,3,0.014395
4,3,weak-MLP,1.0,0,0.255068
4,3,weak-MLP,1.0,1,0.233287
4,3,weak-MLP,1.0,2,0.22377
4,3,weak-MLP,1.0,3,0.221852
4,3,weak-MLP,0.5,0,0.198099
4,3,weak-MLP,0.5,1,0.178944
4,3,weak-MLP,0.5,2,0.170917
4,3,weak-MLP,0.5,3,0.169657
4,3,weak-MLP,0.1,0,0.300713
4,3,weak-MLP,0.1,1,0.273678
4,3,weak-MLP,0.1,2,0.262108
4,3,weak-MLP,0.1,3,0.259664
4,3,weak-MLP,natural,0,0.19688
4,3,weak-MLP,natural,1,0.18032
4,3,weak-MLP,natural,2,0.172922
4,3,weak-MLP,natural,3,0.171153
4,4,weak-MLP,100,0,0.023384
4,4,weak-MLP,100,1,0.020417
4,4,weak-MLP,100,2,0.017777
4,4,weak-MLP,100,3,0.01634
4,4,weak-MLP,1.0,0,0.24656
4,4,weak-MLP,1.0,1,0.224846
4,4,weak-MLP,1.0,2,0.215008
4,4,weak-MLP,1.0,3,0.212853
4,4,weak-MLP,0.5,0,0.180365
4,4,weak-MLP,0.5,1,0.164122
4,4,weak-MLP,0.5,2,0.157719
4,4,weak-MLP,0.5,3,0.156678
4,4,weak-MLP,0.1,0,0.303779
4,4,weak-MLP,0.1,1,0.276264
4,4,weak-MLP,0.1,2,0.264387
4,4,weak-MLP,0.1,3,0.26184
4,4,weak-MLP,natural,0,0.204594
4,4,weak-MLP,natural,1,0.186965
4,4,weak-MLP,natural,2,0.179089
4,4,weak-MLP,natural,3,0.177246
5,0,weak-MLP,100,0,0.022722
5,0,weak-MLP,100,1,0.023686
5,0,weak-MLP,100,2,0.024678
5,0,weak-MLP,100,3,0.025804
5,0,weak-MLP,1.0,0,0.223658
5,0,weak-MLP,1.0,1,0.229665
5,0,weak-MLP,1.0,2,0.236319
5,0,weak-MLP,1.0,3,0.244202
5,0,weak-MLP,0.5,0,0.377134
5,0,weak-MLP,0.5,1,0.386485
5,0,weak-MLP,0.5,2,0.396845
5,0,weak-MLP,0.5,3,0.409093
5,0,weak-MLP,0.1,0,0.361742
5,0,weak-MLP,0.1,1,0.371087
5,0,weak-MLP,0.1,2,0.381313
5,0,weak-MLP,0.1,3,0.393247
5,0,weak-MLP,natural,0,0.189509
5,0,weak-MLP,natural,1,0.191245
5,0,weak-MLP,natural,2,0.193419
5,0,weak-MLP,natural,3,0.196302
5,1,weak-MLP,100,0,0.016979
5,1,weak-MLP,100,1,0.018007
5,1,weak-MLP,100,2,0.019075
5,1,weak-MLP,100,3,0.020148
