seed,fold,model,condition,round,mean_pairwise_l2
4,4,VQC-circmean,0.1,2,0.502068
4,4,VQC-circmean,0.1,3,0.464921
4,4,VQC-circmean,0.1,4,0.431935
4,4,VQC-circmean,0.1,5,0.403857
4,4,VQC-circmean,0.1,6,0.380741
4,4,VQC-circmean,0.1,7,0.36195
4,4,VQC-circmean,0.1,8,0.346608
4,4,VQC-circmean,0.1,9,0.334023
4,4,VQC-circmean,0.1,10,0.32373
4,4,VQC-circmean,0.1,11,0.31525
4,4,VQC-circmean,0.1,12,0.307772
4,4,VQC-circmean,0.1,13,0.300143
4,4,VQC-circmean,0.1,14,0.291733
4,4,VQC-circmean,0.1,15,0.283141
4,4,VQC-circmean,0.1,16,0.274883
4,4,VQC-circmean,0.1,17,0.267334
4,4,VQC-circmean,0.1,18,0.261111
4,4,VQC-circmean,0.1,19,0.256421
5,0,VQC-circmean,0.1,0,0.804921
5,0,VQC-circmean,0.1,1,0.780654
5,0,VQC-circmean,0.1,2,0.736341
5,0,VQC-circmean,0.1,3,0.676574
5,0,VQC-circmean,0.1,4,0.611929
5,0,VQC-circmean,0.1,5,0.554633
5,0,VQC-circmean,0.1,6,0.509282
5,0,VQC-circmean,0.1,7,0.474222
5,0,VQC-circmean,0.1,8,0.446741
5,0,VQC-circmean,0.1,9,0.424883
5,0,VQC-circmean,0.1,10,0.407463
5,0,VQC-circmean,0.1,11,0.393644
5,0,VQC-circmean,0.1,12,0.382643
5,0,VQC-circmean,0.1,13,0.373696
5,0,VQC-circmean,0.1,14,0.366149
5,0,VQC-circmean,0.1,15,0.359525
5,0,VQC-circmean,0.1,16,0.353529
5,0,VQC-circmean,0.1,17,0.348019
5,0,VQC-circmean,0.1,18,0.342965
5,0,VQC-circmean,0.1,19,0.338403
5,1,VQC-circmean,0.1,0,0.760447
5,1,VQC-circmean,0.1,1,0.730889
5,1,VQC-circmean,0.1,2,0.691683
5,1,VQC-circmean,0.1,3,0.648121
5,1,VQC-circmean,0.1,4,0.60524
5,1,VQC-circmean,0.1,5,0.566087
5,1,VQC-circmean,0.1,6,0.531837
5,1,VQC-circmean,0.1,7,0.502454
5,1,VQC-circmean,0.1,8,0.477274
5,1,VQC-circmean,0.1,9,0.455437
5,1,VQC-circmean,0.1,10,0.436141
5,1,VQC-circmean,0.1,11,0.418777
5,1,VQC-circmean,0.1,12,0.402987
5,1,VQC-circmean,0.1,13,0.38867
5,1,VQC-circmean,0.1,14,0.375921
5,1,VQC-circmean,0.1,15,0.36485
5,1,VQC-circmean,0.1,16,0.355416
5,1,VQC-circmean,0.1,17,0.347419
5,1,VQC-circmean,0.1,18,0.340627
5,1,VQC-circmean,0.1,19,0.334864
5,2,VQC-circmean,0.1,0,0.793898
5,2,VQC-circmean,0.1,1,0.774406
5,2,VQC-circmean,0.1,2,0.741206
5,2,VQC-circmean,0.1,3,0.690883
5,2,VQC-circmean,0.1,4,0.631094
5,2,VQC-circmean,0.1,5,0.574862
5,2,VQC-circmean,0.1,6,0.529395
5,2,VQC-circmean,0.1,7,0.49409
5,2,VQC-circmean,0.1,8,0.466549
5,2,VQC-circmean,0.1,9,0.444737
5,2,VQC-circmean,0.1,10,0.42718
5,2,VQC-circmean,0.1,11,0.412834
5,2,VQC-circmean,0.1,12,0.400907
5,2,VQC-circmean,0.1,13,0.390763
5,2,VQC-circmean,0.1,14,0.381899
5,2,VQC-circmean,0.1,15,0.373943
5,2,VQC-circmean,0.1,16,0.366655
5,2,VQC-circmean,0.1,17,0.359907
5,2,VQC-circmean,0.1,18,0.353656
5,2,VQC-circmean,0.1,19,0.347918
5,3,VQC-circmean,0.1,0,0.791468
5,3,VQC-circmean,0.1,1,0.768167
5,3,VQC-circmean,0.1,2,0.729095
5,3,VQC-circmean,0.1,3,0.675342
5,3,VQC-circmean,0.1,4,0.615761
5,3,VQC-circmean,0.1,5,0.560912
5,3,VQC-circmean,0.1,6,0.516009
5,3,VQC-circmean,0.1,7,0.480608
5,3,VQC-circmean,0.1,8,0.452542
5,3,VQC-circmean,0.1,9,0.429794
5,3,VQC-circmean,0.1,10,0.410951
5,3,VQC-circmean,0.1,11,0.395164
5,3,VQC-circmean,0.1,12,0.381924
5,3,VQC-circmean,0.1,13,0.37085
5,3,VQC-circmean,0.1,14,0.361574
5,3,VQC-circmean,0.1,15,0.353741
5,3,VQC-circmean,0.1,16,0.347045
5,3,VQC-circmean,0.1,17,0.341259
5,3,VQC-circmean,0.1,18,0.33624
5,3,VQC-circmean,0.1,19,0.331903
5,4,VQC-circmean,0.1,0,0.805988
5,4,VQC-circmean,0.1,1,0.786009
5,4,VQC-circmean,0.1,2,0.751684
5,4,VQC-circmean,0.1,3,0.703752
5,4,VQC-circmean,0.1,4,0.647509
5,4,VQC-circmean,0.1,5,0.592143
5,4,VQC-circmean,0.1,6,0.54512
5,4,VQC-circmean,0.1,7,0.507764
5,4,VQC-circmean,0.1,8,0.478183
5,4,VQC-circmean,0.1,9,0.454209
5,4,VQC-circmean,0.1,10,0.434336
5,4,VQC-circmean,0.1,11,0.417743
5,4,VQC-circmean,0.1,12,0.403967
5,4,VQC-circmean,0.1,13,0.392582
5,4,VQC-circmean,0.1,14,0.38308
5,4,VQC-circmean,0.1,15,0.374944
5,4,VQC-circmean,0.1,16,0.367758
5,4,VQC-circmean,0.1,17,0.361255
5,4,VQC-circmean,0.1,18,0.355302
5,4,VQC-circmean,0.1,19,0.349867
6,0,VQC-circmean,0.1,0,0.722322
6,0,VQC-circmean,0.1,1,0.689735
